shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
719,47.12179,27.62469,12
719,47.12215,27.62425,13
719,47.12307,27.62331,14
719,47.12327,27.62309,15
719,47.12341,27.62287,16
719,47.12411,27.62161,17
719,47.12454,27.62082,18
719,47.12454,27.62082,19
719,47.12651,27.61754,20
719,47.12671,27.61722,21
719,47.12718,27.61676,22
719,47.12827,27.61588,23
719,47.12838,27.61579,24
719,47.12838,27.6158,25
719,47.12912,27.6152,26
719,47.13024,27.61423,27
719,47.13073,27.61382,28
719,47.13146,27.61329,29
719,47.13226,27.61294,30
719,47.13226,27.61294,31
719,47.13292,27.61263,32
719,47.13318,27.61233,33
719,47.1346,27.61023,34
719,47.13547,27.60894,35
719,47.13612,27.60798,36
719,47.13612,27.60798,37
719,47.14012,27.60208,38
719,47.14012,27.60208,39
719,47.14073,27.60118,40
719,47.14167,27.59974,41
719,47.14381,27.59653,42
719,47.14503,27.59493,43
719,47.14503,27.59493,44
719,47.14584,27.59392,45
719,47.14744,27.59205,46
719,47.14685,27.59119,47
719,47.14658,27.59078,48
719,47.14646,27.59052,49
719,47.14635,27.59025,50
719,47.14621,27.58985,51
719,47.14617,27.58963,52
719,47.14605,27.58891,53
719,47.14604,27.58875,54
719,47.14604,27.58875,55
719,47.14604,27.58818,56
719,47.14605,27.58713,57
719,47.14606,27.58602,58
719,47.14609,27.58492,59
719,47.14611,27.58462,60
719,47.1462,27.58429,61
719,47.14655,27.58335,62
719,47.14679,27.58274,63
719,47.14687,27.58255,64
719,47.14704,27.58228,65
719,47.14725,27.58193,66
719,47.14772,27.58119,67
719,47.14772,27.58119,68
719,47.14862,27.57975,69
719,47.1491,27.57902,70
719,47.14971,27.57817,71
719,47.14971,27.57817,72
719,47.15085,27.57655,73
719,47.15189,27.57512,74
719,47.15209,27.57483,75
719,47.1523,27.57459,76
719,47.1527,27.57418,77
719,47.15296,27.57399,78
719,47.15341,27.57375,79
719,47.15382,27.57361,80
719,47.15409,27.57355,81
719,47.15433,27.57351,82
719,47.15462,27.57352,83
719,47.15494,27.57355,84
719,47.15526,27.57366,85
719,47.15558,27.57377,86
719,47.15581,27.57389,87
719,47.15581,27.57389,88
719,47.15616,27.57408,89
719,47.15708,27.5746,90
719,47.15756,27.57491,91
719,47.1581,27.57525,92
719,47.15821,27.5753,93
719,47.15863,27.57546,94
719,47.15893,27.57549,95
719,47.15905,27.5754,96
719,47.15909,27.57533,97
719,47.15915,27.57511,98
719,47.15911,27.57485,99
719,47.15905,27.57453,100
719,47.15911,27.57423,101
719,47.15931,27.57377,102
719,47.15965,27.57332,103
719,47.15987,27.57315,104
719,47.1601,27.57307,105
719,47.16018,27.57307,106
719,47.16018,27.57307,107
719,47.16042,27.57307,108
719,47.1609,27.57315,109
719,47.16176,27.57328,110
719,47.16205,27.57326,111
719,47.16222,27.57322,112
719,47.16259,27.57305,113
719,47.16516,27.57158,114
719,47.16553,27.57136,115
719,47.16572,27.57127,116
719,47.16589,27.57117,117
719,47.16599,27.57108,118
719,47.16623,27.57078,119
719,47.16681,27.56964,120
719,47.16681,27.56964,121
719,47.16781,27.56787,122
719,47.16851,27.56652,123
719,47.16928,27.5651,124
719,47.16978,27.56412,125
719,47.17054,27.56245,126
719,47.17075,27.56207,127
719,47.17128,27.56093,128
719,47.17163,27.56015,129
719,47.17175,27.55986,130
719,47.17175,27.55986,131
719,47.17189,27.55953,132
719,47.17205,27.55889,133
719,47.17241,27.55718,134
719,47.17295,27.55467,135
719,47.17322,27.5533,136
719,47.17339,27.5525,137
719,47.17352,27.55183,138
719,47.17354,27.55149,139
719,47.17358,27.55097,140
719,47.17354,27.55037,141
719,47.17349,27.54914,142
719,47.17348,27.54898,143
719,47.17348,27.54898,144
719,47.1731,27.54184,145
719,47.17294,27.54031,146
719,47.17288,27.53949,147
719,47.17286,27.53812,148
719,47.17286,27.53812,149
719,47.17286,27.53802,150
719,47.17277,27.53754,151
719,47.17268,27.53737,152
719,47.17256,27.53732,153
719,47.17257,27.53733,154
719,47.17244,27.53733,155
719,47.17236,27.53739,156
719,47.17231,27.53748,157
719,47.17229,27.53758,158
720,47.17228,27.53759,0
720,47.17229,27.5376,1
720,47.1723,27.53773,2
720,47.17234,27.53784,3
720,47.17242,27.53791,4
720,47.17251,27.53794,5
720,47.17268,27.53797,6
720,47.17268,27.53797,7
720,47.17278,27.53799,8
720,47.17286,27.53812,9
720,47.17287,27.53902,10
720,47.17287,27.53902,11
720,47.17291,27.53992,12
720,47.17309,27.54181,13
720,47.17341,27.54769,14
720,47.17341,27.54769,15
720,47.17351,27.54972,16
720,47.17358,27.55097,17
720,47.17352,27.55183,18
720,47.1732,27.55343,19
720,47.1728,27.55539,20
720,47.17217,27.55839,21
720,47.17212,27.55857,22
720,47.17212,27.55857,23
720,47.17189,27.55953,24
720,47.17129,27.56092,25
720,47.17075,27.56207,26
720,47.17054,27.56245,27
720,47.16991,27.56385,28
720,47.16958,27.56451,29
720,47.16855,27.56644,30
720,47.16765,27.56816,31
720,47.16716,27.56902,32
720,47.16716,27.56902,33
720,47.16664,27.56994,34
720,47.16623,27.57078,35
720,47.1661,27.57096,36
720,47.16589,27.57117,37
720,47.16562,27.57131,38
720,47.16427,27.57209,39
720,47.16275,27.57296,40
720,47.16241,27.57314,41
720,47.16222,27.57322,42
720,47.16205,27.57326,43
720,47.16176,27.57328,44
720,47.16133,27.57322,45
720,47.16091,27.57315,46
720,47.16086,27.57314,47
720,47.16039,27.57307,48
720,47.1601,27.57307,49
720,47.15987,27.57315,50
720,47.15977,27.57323,51
720,47.15977,27.57323,52
720,47.15965,27.57332,53
720,47.15944,27.5736,54
720,47.15871,27.57459,55
720,47.15855,27.57478,56
720,47.15837,27.57489,57
720,47.15824,27.57495,58
720,47.15813,27.57497,59
720,47.15779,27.57495,60
720,47.15756,27.57491,61
720,47.15708,27.5746,62
720,47.15693,27.57504,63
720,47.15671,27.57588,64
720,47.15652,27.5767,65
720,47.15626,27.57729,66
720,47.15609,27.5776,67
720,47.15601,27.57769,68
720,47.15601,27.57768,69
720,47.15559,27.57796,70
720,47.15548,27.57805,71
720,47.15536,27.57822,72
720,47.1553,27.57828,73
720,47.15389,27.58075,74
720,47.15274,27.58277,75
720,47.15174,27.58565,76
720,47.15174,27.58565,77
720,47.15148,27.58641,78
720,47.15131,27.58682,79
720,47.1512,27.58696,80
720,47.15107,27.58707,81
720,47.15101,27.58714,82
720,47.15092,27.58732,83
720,47.15091,27.58741,84
720,47.15067,27.58798,85
720,47.14744,27.59205,86
720,47.14594,27.5938,87
720,47.14594,27.5938,88
720,47.14507,27.59488,89
720,47.14381,27.59653,90
720,47.14167,27.59974,91
720,47.14073,27.60118,92
720,47.14,27.60226,93
720,47.14,27.60226,94
720,47.13756,27.60583,95
720,47.13745,27.60585,96
720,47.13735,27.60583,97
720,47.13728,27.60577,98
720,47.13717,27.60551,99
720,47.13699,27.60291,100
720,47.13699,27.60291,101
720,47.13684,27.60021,102
720,47.13669,27.59792,103
720,47.13656,27.59591,104
720,47.13652,27.59515,105
720,47.13651,27.59523,106
720,47.13645,27.5941,107
720,47.13635,27.59314,108
720,47.13621,27.59203,109
720,47.1361,27.5913,110
720,47.1361,27.5913,111
720,47.1357,27.58838,112
720,47.13558,27.58746,113
720,47.13533,27.58607,114
720,47.1353,27.58554,115
720,47.13528,27.58469,116
